
No.	单词	解释
2247	mansion	n. 大厦；宅邸
2248	immemorial	adj. 无法追忆的；远古的，古老的
2249	immune	1. adj. 免疫的；免于……的，免除的<br>2. n. 免疫者；免除者
2250	immunity	n. 免疫力；免除；豁免权
2251	mutable	adj. 易变的，不定的；性情不定的
2252	immure	vt. 把…嵌在墙上；监禁，禁闭
2253	mural	1. adj. 墙壁的<br>2. n. 壁画；（美）壁饰
2254	impassive	adj. 无动于衷的, 无表情的副 词: impassively 名 词: impassiveness or
2255	passive	1. adj. 被动的，消极的；被动语态的<br>2. n. 被动语态
2256	Ivanhoe	n. 艾凡赫；劫后英雄传（小说名）
2257	IMO	abbr. International Maritime Organization 国际海事组织
2258	impecunious	adj. 没钱的, 不名一文的副 词: impecuniously 名 词: impecuniousness or
2259	pecuniary	adj. 金钱的,金钱上的
2260	penetrable	adj. 可穿透的名 词: penetrability 副 词: penetrably
2261	penetrate	vt. & vi. 穿过, 刺入, 渗入; 了解; vt. 看穿时 态: penetrated, penetrating, penetrates 名 词: penetrator
2262	gods	n. 上帝们；众神，诸神，泛指神灵（god的复数）
2263	penetrating	adj. 敏锐的,有洞察力的;聪明的; 响亮的; adv. 敏锐地,响亮地副 词: penetratingly
2264	impenitent	1. n. 顽固的人；不知悔改的人<br>2. adj. 顽固的；不知悔改的
2265	penitence	n. 后悔；赎罪
2266	penitent	1. adj. 忏悔的，悔过的<br>2. n. 悔罪者，忏悔者
2267	imperative	adj. 必要的, 紧急的, 极重要的; 命令的; 祈使的; n. 必要的事, 必须完成的事; 祈使语气副 词: imperatively 名 词: imperativeness
2268	prepare	1. vt. 准备；使适合；装备；起草<br>2. vi. 预备；做好思想准备
2269	acquire	vt. 获得；学到；取得；捕获
2270	contrive	1. vt. 设计；发明；图谋<br>2. vi. 谋划；设法做到
2271	imperial	1. adj. 皇帝的；帝国的；威严的；至高无上的<br>2. n. 纸张尺寸；特等品
2272	imperious	adj. 专横的, 飞扬跋扈的副 词: imperiously 名 词: imperiousness
2273	impertinent	adj. 粗鲁的；不恰当的；不相干的；无礼的
2274	pertinent	adj. 有关的; 中肯的; 恰当的名 词: pertinence or 副 词: pertinently
2275	pertain	vi. 适合；属于；关于
2276	perturb	vt. 扰乱；使…混乱；使…心绪不宁
2277	turbid	adj. 混乱的；浑浊的；雾重的
2278	pervious	adj. 能被通过的；能接受的；可渗透的
2279	impervious	adj. 不可渗透的,透不过的; 无动于衷的,不受影响的副 词: imperviously 名 词: imperviousness
2280	importunate	adj. 强求的,纠缠不休的副 词: importunately 名 词: importunateness
2281	importune	1. vi. 强求；胡搅蛮缠<br>2. vt. 强求；一再向某人要求
2282	importunity	n. 硬要,强求
2283	impromptu	adj. & adv. 事先无准备, 临时; n. 即兴曲
2284	ablative	1. adj. 离格的；消融的<br>2. n. 离格；烧蚀材料
2285	imposing	1. adj. （建筑物等）壮观的；给人深刻印象的；威风的；（仪表）堂堂的<br>2. v. impose的ing形式
2286	impose	1. vi. 欺骗；利用；施加影响<br>2. vt. 强加；以…欺骗；征税
2287	recruit	1. n. 招聘；新兵；新成员<br>2. vt. 征募；补充；使…恢复健康；聘用
2288	impudent	adj. 鲁莽的；放肆无礼的；无耻的
2289	pudendum	n. [解]（尤指女性的）外生殖器；外阴
2290	puissance	n. 力, 权力, 精神形容词: puissant 副 词: puissantly
2291	puissant	adj. 强大的，强盛的；有势力的，有权力的
2292	enemy	1. n. 敌人，仇敌；敌军<br>2. adj. 敌人的，敌方的
2293	anatomy	n. 解剖学；剖析；[医]解剖；骨骼
2294	antiseptic	adj. 防腐的, 杀菌的，消毒的; 使用抗菌剂的,使用防腐剂的; 未受感染的,无菌的,消过毒的; 非常整洁的；一尘不染的; 冷淡的,缺乏热情的; n. 防腐剂，杀菌剂副 词: anti...
2295	appendicitis	n. 阑尾炎
2296	appendix	n. 附录；阑尾；附加物
2297	appetite	n. 食欲；嗜好
2298	biological	adj. 生物学的; 生物的副 词: biologically
2299	upturn	1. n. 情况好转<br>2. vt. 使……转朝上；翻转
2300	shawl	1. n. 围巾，长方形披巾<br>2. vt. 用披巾包裹
2301	gossip	1. n. 小道传闻；随笔；爱说长道短的人<br>2. vi. 闲聊；传播流言蜚语
2302	wipe	1. vt. 擦；涂上；消除<br>2. vi. 擦；打
2303	go over	检查,重做,复习@vi. 前去,转化的,获得同意
2304	uranium	n. [化]铀
2305	mineral	1. n. 矿物；[化]无机物；（英）矿泉水；苏打水（常用复数表示）<br>2. adj. 矿物的；矿质的
2306	abend	n. 异常结束；异常中止
2307	abnormal	adj. 反常的，不规则的；变态的
2308	abbreviation	n. 缩写; 缩写词
2309	acceleration	n. 加速；加快; 加速能力,加速的幅度; 加速度; 跳级
2310	accepting	接受
2311	accompany	vt. 陪伴, 陪同; 伴随…同时发生; 伴奏时 态: accompanied, accompanying, accompanies
2312	ambassador	n. 大使, 使节形容词: ambassadorial 名 词: ambassadorship
2313	arrival	n. 到达；到达者；到来
2314	oblige	1. vt. 强制；赐，施恩惠；迫使；责成<br>2. vi. 帮忙；施恩惠
2315	liable	adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
2316	blanket	1. n. 毛毯，毯子；毯状物，覆盖层<br>2. adj. 总括的，全体的；没有限制的
2317	mullah	n. 毛拉（伊斯兰教神学家）
2318	eighth	1. adj. 第八的；八分之一的<br>2. num. 第八；八分之一
2319	pregnancy	n. 怀孕; 妊娠
2320	fallout	n. 原子尘；放射性尘埃；原子尘微粒回降；附带结果
2321	script	1. n. 手迹；脚本；书写用的字母<br>2. vt. 把…改编为剧本
2322	irrelevance	n. 枝节问题
2323	obsessive	adj. 萦绕于心的;有执著想法的名 词: obsessive 副 词: obsessively 名 词: obsessiveness
2324	batter	1. n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜<br>2. vt. 猛击；打坏；使向上倾斜
2325	stag	1. n. 牡鹿；不带女伴的舞客；阉割过的雄鹿<br>2. adj. 全是男人的
2326	splice	1. vt. 接合；拼接；使结婚<br>2. n. 接合；结婚
2327	deviant	1. n. 不正常者；偏移值；变异物<br>2. adj. 不正常的；离经叛道的
2328	dentistry	n. 牙医业;牙科医术
2329	digestion	n. 消化能力; 消化;领悟
2330	gatt	abbr. 关税暨贸易总协定（General Agreement on Tariffs and Trade）
2331	gusher	n. 喷油井；说话滔滔不绝的人
2332	frankenstein	n. 作法自毙的人,毁灭创造者自己之物
2333	guff	n. 废话；胡说，瞎扯
2334	hen	n. 母鸡; 雌禽形容词: hennish 副 词: hennishly 名 词: hennishness
2335	halloween	n. 万圣节前夕（指十月三十一日夜晚）
2336	herculean	adj. 赫拉克勒斯的; 力大无比的;骁勇无比的; 艰巨的;费力的 Herculeanadj. 大力神的, 力大无比的, 费力的
2337	insignia	n. 徽章；记号，标志；荣誉
2338	intemperate	adj. 不温和的,过度的; 无节制的,放纵的,纵酒的副 词: intemperately 名 词: intemperateness
2339	temperance	n. 节制；节欲; 戒酒
2340	kingpin	n. 中心立轴；主要人物
2341	juncture	n. 连接；接合；接缝
2342	manna	n. 吗哪,精神食粮,天赐,甘露
2343	insular	adj. 孤立的；岛民的；海岛的；与世隔绝的
2344	island	1. n. 岛；岛屿；安全岛；岛状物<br>2. adj. 岛的
2345	peninsula	n. 半岛形容词: peninsular
2346	islet	n. 小岛
2347	marine	1. adj. 海生的；航海的，海运的；船舶的；海产的<br>2. n. （海军）士兵或军官；舰队；水兵；海运业
2348	gerundive	n. 动词状形容词
2349	impugn	vt. 责难；驳斥
2350	inadvertent	adj. 粗心大意的, 因疏忽造成的, 非故意的副 词: inadvertently
2351	inadvertence	n. 不注意,怠慢,漫不经心
2352	inane	adj. 愚蠢的；空洞的，空虚的
2353	inanity	n. 空虚；愚蠢；浅薄
2354	inaugurate	vt. 为…举行就职典礼; 为…举行仪式, 为…举行落成仪式; 开创, 创始时 态: inaugurated, inaugurating, inaugurates 名 词: i...
2355	inauguration	n. 就职;就职典礼; 开始;开创; 开幕;落成
2356	augur	1. n. 预言者；占兆官；占卜师<br>2. vt. 预言；是…的预兆
2357	augment	1. vi. 增加；增大<br>2. vt. 增加；增大
2358	perhaps	1. adv. 也许；可能<br>2. n. 假定；猜想；未定之事
2359	ritual	1. n. 仪式；惯例；礼制<br>2. adj. 仪式的；礼节性的；例行的
2360	entrails	n. 内脏；肠；（物体的）内部
2361	divination	n. 预测，占卜
2362	incense	1. vt. 向…焚香；使…发怒<br>2. n. 香；奉承
2363	incendiary	adj. 放火的, 纵火的, 能燃烧的; 煽动性的名 词: incendiarism
2364	become	1. vi. 变成；变得；成为<br>2. vt. 适合；相称
2365	archaic	adj. 古代的；古体的；陈旧的；古色古香的
2366	perfume	1. n. 香水；香味<br>2. vt. 洒香水于…；使…带香味
2367	incentive	n. 激励某人做某事的事物; 刺激; 诱因, 动机
2368	inch	1. n. 英寸；身高；少许<br>2. vt. 使缓慢地移动
2369	twelfth	1. adj. 第十二的，第十二个的；十二分之一的<br>2. n. 第十二；月的第十二日
2370	ell	n. 厄尔（旧时量布的长度）；字母L；侧房；L形的东西
2371	ounce	n. 盎司；少量；雪豹
2372	inchoate	1. adj. 早期的；刚开始的；未充分发展的<br>2. vt. 开始
2373	strap	1. vt. 用带捆绑；用皮条抽打；约束<br>2. n. 皮带；带；磨刀皮带；鞭打
2374	政府采购者	zhèng fǔ cǎi gòu zhě government buyer; government purchaser
2375	incinerate	vt. 把烧成灰烬; n. 焚化,火葬时 态: incinerated, incinerating, incinerates 名 词: incineration
2376	incineration	n. 焚化;烧成灰
2377	incipience	n. 开始；早期
2378	incipiency	n. 起初,发端
2379	ashes	1. n. 骨灰，灰烬（ash的复数）<br>2. v. 把…烧成灰烬（ash的第三人称单数形式）
2380	incite	vt. 煽动；激励；刺激
2381	cite	vt. 引用；传讯；想起；表彰
2382	yoke	1. n. 束缚；轭；牛轭<br>2. vt. 结合；给…上轭
2383	inclement	adj. 气候严酷的；险恶的；狂风暴雨的
2384	clementem	n. 克莱门蒂娜
2385	incogitant	adj. 无思虑的,粗心的
2386	incorrigible	adj. 无法矫正的,屡教不改的,无可救药的; n. 无法矫正,屡教不改,无可救药; adv. 无法矫正地,屡教不改地,无可救药地名 词: incorrigibility or 副...
2387	corrigibility	n. 可改正性,可订正,易矫正
2388	incriminate	vt. 使显得有罪, 牵连, 归罪于时 态: incriminated, incriminating, incriminates 名 词: incrimination 形容...
2389	crime	1. n. 罪行，犯罪；罪恶；犯罪活动<br>2. vt. 控告……违反纪律
2390	inculpable	adj. 无罪的
2391	inculpate	vt. 显示有罪, 使负罪时 态: inculpated, inculpating, inculpates 名 词: inculpation 形容词: inculpat...
2392	delible	adj. 可抹掉的；可除掉的
2393	indigen	n. 本地人；土著；动植物的自生种；本地产的动植物（等于indigene）
2394	indigene	n. 土生的动植物；原住民
2395	endo-	pref. 表示“内部”之义
2396	indigent	adj. 贫穷的（副词indigently）；贫困的
2397	indigence	n. 穷困；贫乏；贫穷
2398	erge	纯砂沙漠
2399	indolent	adj. [医]无痛的；懒惰的
2400	indolence	n. 懒散，懒惰；[医]无痛
2401	delinquent	adj. 违法的;有过失的; 拖欠的, 到期未付的; n. 有过失的人, 违法的人副 词: delinquently
2402	relinquish	vt. 交出, 让给; 放弃时 态: relinquished, relinquishing, relinquishes 名 词: relinquisher 名 词: ...
2403	offend	1. vt. 冒犯；使…不愉快<br>2. vi. 违反；进攻；引起不舒服
2404	indulge	1. vt. 满足；使沉迷于…；使高兴；纵容<br>2. vi. 满足；沉溺；放任
2405	complaisant	adj. 恭敬的,恳切的; 殷勤的,讨好的; 默认的,默许的副 词: complaisantly
2406	indulgence	n. 放纵；纵容；嗜好；沉溺
2407	ineluctable	adj. 不可避免的；无法逃避的
2408	reluctance	n. 不愿意；勉强
2409	inept	adj. 不适当的；笨拙的
2410	inert	adj. 惰性的；呆滞的；迟缓的；无效的
2411	exorable	adj. 可说服的；可用恳求打动的
2412	infatuate	v. 冲昏头脑时 态: infatuated, infatuating, infatuates
2413	fatuous	adj. 愚笨的；昏庸的；发呆的；自满的
2414	stricken	adj. 患病的；受挫折的；受…侵袭的；遭殃的
2415	Vaan	abbr. 声音应答装置（Voice Answer Back）
2416	root	1. n. 根；根源；祖先；词根<br>2. vi. 生根；根除
2417	Prot	n. 镤化物
2418	Fatuus	n. 法学家的裁决
2419	infelicitous	adj. 不恰当的;不幸的；不适当的, 不贴切的副 词: infelicitously
2420	felicitous	adj. 恰当的,贴切的; n. 恰当,贴切副 词: felicitously 名 词: felicitousness
2421	felicity	n. 幸福；快乐；幸运
2422	infiltrate	vt. & vi. 渗透;渗入人的心中时 态: infiltrated, infiltrating, infiltrates 名 词: infiltrator
2423	filtrate	1. vi. 过滤<br>2. vt. 过滤；筛选
2424	filtration	n. 过滤,筛选
2425	infirm	adj. 衰弱的；意志薄弱的；不坚固的
2426	infraction	n. 违反
2427	infringe	1. vt. 侵犯；违反；破坏<br>2. vi. 侵犯；侵害
2428	encroach	1. vi. 侵占；蚕食；侵蚀<br>2. vt. 侵犯
2429	ingest	vt. 咽下；摄取；吸收；接待
2430	ingrained	adj. 牢固的, 极难除掉的
2431	ingrain	1. vt. 使…根深蒂固；就…原料染色；生染<br>2. n. 固有品质；原纱染色；生染的纤维
2432	engrain	1. vt. 使根深蒂固；把…染成木纹色<br>2. adj. 根深蒂固的
2433	grain	1. n. 粮食；颗粒；谷物；纹理<br>2. vi. 成谷粒
2434	kermes	n. 胭脂虫；[化]胭脂虫粉；无定形三硫化锑
2435	cochineal	n. 胭脂虫洋红形容词: cochineal
2436	berry	1. n. 浆果（葡萄，番茄等）<br>2. vi. 采集浆果
2437	fiber	n. 纤维；光纤（等于fibre）
2438	inimicable	adj. 有害的,不利的
2439	inimical	adj. 敌意的；有害的
2440	init	abbr. 初始化（initialization）
2441	initialization	n. 设定初值,初始化
2442	initialize	vt. 初始化时 态: initialized, initializing, initializes 名 词: initialization 名 词: initial...
2443	ion	n. 离子
2444	inkling	1. n. 暗示；略知；模糊概念<br>2. v. [英国方言]略知；低声说出；暗示 （inkle的ing形式）
2445	utter	1. vt. 发出，表达；发射<br>2. adj. 完全的；彻底的；无条件的
2446	innocuous	adj. 无害的,不会招致反对的副 词: innocuously 名 词: innocuousness
2447	necro-	坏死
2448	insipid	adj. 清淡的；无趣的
2449	sapient	1. adj. 聪明的；伶俐的；装聪明样的；有见识的<br>2. n. （史前的）智人
2450	perceive	1. vt. 察觉，感觉；理解；认知<br>2. vi. 感到，感知；认识到
2451	insouciant	adj. 漫不经心的，漠不关心的；无忧无虑的
2452	solicit	1. vt. 征求；请求；乞求；招揽<br>2. vi. 恳求；征求；请求；招揽
2453	instate	vt. 任命
2454	state	1. n. 情形；国家；州<br>2. vt. 陈述；规定；声明
2455	instigate	vt. 使开始或发生;鼓动时 态: instigated, instigating, instigates 名 词: instigation 形容词: instigat...
2456	instigation	n. 煽动，鼓动；刺激；教唆
2457	instill	vt. 徐徐滴入；逐渐灌输
2458	distill	1. vt. 蒸馏；提取；使滴下<br>2. vi. 滴下；蒸馏；作为精华产生（等于distil）
2459	insurgent	adj. 起义的,叛乱的,造反的; n. 起义,暴动,造反副 词: insurgently
2460	surge	1. n. 巨涌；大浪；汹涌澎湃<br>2. vi. 汹涌；激增
2461	integral	1. adj. 完整的，整体的；[数学]积分的<br>2. n. [数学]积分；部分；完整
2462	integer	n. 整数；完整的事物；整体
2463	integrity	n. 正直; 诚实, 诚恳; 完整, 完全, 完善
2464	intelligible	adj. 可理解的, 明白易懂的, 清楚的名 词: intelligibility or 副 词: intelligibly
2465	intelligence	n. 智力, 智慧; 理解力; 情报, 消息; 情报人员
2466	faculty	n. 能力；全体教员；科，系
2467	quotient	n. [数]商；系数；份额
2468	intensify	vt. & vi. 增强, 加剧时 态: intensified, intensifying, intensifies 名 词: intensification
2469	intense	adj. 强烈的；紧张的；热情的；非常的
2470	intend	1. vt. 打算；意指；想要<br>2. vi. 有打算
2471	inter	vt. 埋；葬
2472	interlock	n. 互锁设备; 双螺纹针织品时 态: interlocked, interlocking, interlocks
2473	inter-	pref. 表示“在一起， 交互”之义；表示“在…中间、在…之间”之义
2474	intermittent	adj. 间歇的; 断断续续的名 词: intermittence 副 词: intermittently
2475	intermission	n. 间歇,停顿;中间休息
2476	mission	1. n. 使命，任务；布道；代表团<br>2. vt. 派遣；向……传教
2477	stem	1. n. 茎；干；船首；血统<br>2. vt. 除去…的茎；给…装柄；阻止
2478	interrogate	vt. 询问, 审问, 质问时 态: interrogated, interrogating, interrogates 名 词: interrogation 形容词: ...
2479	interrogation	n. 讯问的行为实例;讯问过程; 疑问句;问题
2480	intimate	1. adj. 亲密的；私人的；精通的；[婉]有性关系的<br>2. n. 至交；知己
2481	inmost	adj. 心底的，内心深处的；最深的
2482	optima	n. 最适条件；最佳状态（optimum的复数形式）
2483	optimum	1. adj. 最适宜的<br>2. n. 最佳效果；最适宜条件
2484	optimist	n. 乐天派；乐观主义者
2485	optimism	n. 乐观；乐观主义
2486	intrepid	adj. 无畏的；勇猛的；勇敢的
2487	trepidation	n. 惊恐；恐惧；忧虑；颤抖
2488	tremble	1. vi. 战栗；焦虑；发抖；摇晃<br>2. vt. 使挥动；用颤抖的声音说出
2489	intrinsic factor	内在因素；[医]（造血）内因子
2490	intrinsic	adj. 固有的, 内在的, 本质的副 词: intrinsically
2491	following	adj. 其次的, 接着的; 下述的; n. 一群追随者
2492	interior	1. n. 内部；本质<br>2. adj. 内部的；国内的；本质的
2493	intuitive	adj. 有直觉力的;凭直觉获知的副 词: intuitively 名 词: intuitiveness
2494	intuition	n. 直觉; 凭直觉感知的知识形容词: intuitional 副 词: intuitionally
2495	tuition	n. 学费；讲授
2496	inundate	vt. 泛滥；淹没；浸水；（洪水般的）扑来
2497	inundation	n. 淹没,泛滥; 洪水; 扑来;压倒
2498	onto	1. prep. 在…之上；对…了解；[数]映射到…上<br>2. adj. [数]映成的；映射的；自身的
2499	unda	n. 浪蚀底
2500	inure	1. vt. 使…习惯；使…适应<br>2. vi. 适用；起作用；有助于
2501	invective	1. adj. 恶言的；谩骂的<br>2. n. 恶言漫骂
2502	inveigh	vi. 痛骂；漫骂；猛烈抨击
2503	nuance	n. 细微差别
2504	denunciation	n. 公开的谴责,指责;告发形容词: denunciative
2505	vehicle	n. 车辆；交通工具；运载工具；媒介物；工具；传播媒介
2506	vent	1. n. 出口；通风孔；（感情的）发泄<br>2. vt. 发泄感情；放出…；给…开孔
2507	delicately	adv. 优美地;精致地;微妙地
2508	Meaning	1. n. 意义；含义；意图<br>2. adj. 意味深长的
2509	inveigle	vt. 诱骗；诱使
2510	oculus	n. 眼睛
2511	invention	n. 发明；发明物；发明才能；虚构
2512	inveterate	adj. 有恶习的,成瘾的; 根深蒂固的名 词: inveteracy 副 词: inveterately
2513	veteran	1. n. 老兵；老手；富有经验的人；老运动员<br>2. adj. 经验丰富的；老兵的
2514	wether	n. 阉羊
2515	male	1. adj. 雄性的；男性的；有力的<br>2. n. 男人；雄性动物
2516	castrate	vt. 阉割；删除；去掉最重要的部分；使丧失力量
2517	castration	n. 阉割
2518	ram	abbr. 随机访问内存（random-access memory的缩写）；随机存取存储器（random access memory的缩写）
2519	yearling	1. n. 一岁家畜；满一岁的动物<br>2. adj. 一岁的
2520	invidious	adj. 会招致不满的,激起怨恨的副 词: invidiously 名 词: invidiousness
2521	envy	1. n. 羡慕；嫉妒，妒忌<br>2. vt. 羡慕；嫉妒，妒忌
2522	irascible	adj. 易怒的
2523	ire	1. n. 忿怒<br>2. vt. 使发怒
2524	err	vi. 犯错；做错；犯罪；[废]走上歧途
2525	anger	1. n. 怒，愤怒；忿怒<br>2. vt. 使发怒，激怒；恼火
2526	irritate	1. vt. 激怒；刺激，使兴奋<br>2. vi. 引起恼怒，引起不愉快
2527	irate	adj. 生气的；发怒的
2528	iridescent	adj. 彩虹色的; 变色的,闪色的副 词: iridescently
2529	iris	1. n. 虹膜；鸢尾属植物<br>2. adj. 鸢尾属植物的
2530	irk	vt. 使烦恼；使厌倦
2531	irrigate	1. vt. 灌溉；冲洗；使清新<br>2. vi. 灌溉；冲洗
2532	impatient	adj. 不耐烦的, 急躁的; 热切的, 急切的副 词: impatiently
2533	patience	n. 耐性，耐心；忍耐，容忍
2534	irritare	1. vt. 激怒；刺激，使兴奋<br>2. vi. 引起恼怒，引起不愉快
2535	excite	1. vt. 刺激…，使…兴奋；激起<br>2. vi. 激动
2536	jabber	1. vi. 快而含糊地说；吱吱喳喳地叫<br>2. vt. 快而含糊地说出
2537	jaded	1. adj. 厌倦的；疲倦不堪的<br>2. v. 变得疲倦；精疲力竭；厌倦（jade的过去分词）
2538	jade	1. n. 碧玉；翡翠；老马<br>2. adj. 玉制的；绿玉色的
2539	worn	1. adj. 用旧的；疲倦的<br>2. v. 穿；佩戴；磨损（wear的过去分词）
2540	suggests	v. 暗示，建议（suggest的单数）
2541	whore	1. vi. 卖淫，娼妓<br>2. n. 娼妓，淫妇
2542	mare	n. 母马；母驴；月球表面阴暗部
2543	jape	1. n. 嘲弄；玩笑<br>2. vi. 开玩笑
2544	howl	1. vi. 怒吼；咆哮；狂吠<br>2. vt. 狂喊着说；对…吼叫
2545	bawl	1. vi. 大叫；放声痛哭<br>2. vt. 大声叫出；大声宣布；叫卖
2546	jargon	n. 行话，术语；[化]黄锆石
2547	jar	1. n. 广口瓶；震动；刺耳声；罐<br>2. vi. 冲突；不一致；震惊；发刺耳声
2548	jaundice	1. n. [病理]黄疸；偏见；乖僻<br>2. vt. 使怀偏见；使患黄疸
2549	gender	1. n. 性；性别；性交<br>2. vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）
2550	jaunty	adj. 快活的；活泼的；洋洋得意的；感到自信和自满的
2551	jejune	adj. 枯燥无味的；幼稚的；缺乏营养的
2552	ingenuity	n. 足智多谋, 心灵手巧
2553	ingenuous	adj. 天真无邪的,朴实的; 坦率的副 词: ingenuously 名 词: ingenuousness
2554	miraculous	adj. 奇迹般的, 超自然的副 词: miraculously 名 词: miraculousness
2555	snatching	冲动
2556	trump	1. n. 王牌；法宝；喇叭<br>2. vt. 打出王牌赢；胜过
2557	continuum	n. 连续统一体
2558	vocalisation	n. 〈主英〉发声法
2559	hoot	1. n. 鸣响；嘲骂声；汽笛响声<br>2. vi. 鸣响；大声叫嚣
2560	pantgrunt	n. 泛古洋,泛大洋
2561	capitalized	adj. 大写的@动词capitalize的过去式和过去分词
2562	stuttering	口吃
2563	mettle	n. 勇气；气质；耐力
2564	metal	1. n. 金属；合金<br>2. vt. 以金属覆盖
2565	miff	1. n. 微怒；小争执<br>2. vt. 使……恼怒
2566	Fitter	1. n. 装配工<br>2. adj. 胜任的；适当的
2567	mint	1. n. 薄荷；造币厂，巨款<br>2. vt. 铸造，铸币
2568	aromatic	1. adj. 芳香的，芬芳的；芳香族的<br>2. n. 芳香剂；芳香植物
2569	stamp	1. n. 邮票；印记；跺脚；标志<br>2. vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
2570	mirage	n. 海市蜃楼；幻想，妄想
2571	mirth	n. 欢笑；高兴；欢乐
2572	-th	abbr. Total Hydrocarbon Analyzer 总碳氢分析器
2573	mischievous	adj. 淘气的, 顽皮的; 造成伤害的副 词: mischievously 名 词: mischievousness
2574	mischief	n. 伤害；顽皮；不和；恶作剧
2575	chief	1. n. 酋长；首领；主要部分<br>2. adj. 主要的；首席的；主任的
2576	miscreant	n. 恶棍,歹徒形容词: miscreant
2577	credo	n. 信条，教义
2578	miser	n. 吝啬鬼；守财奴；（石油工程上用的）凿井机
2579	wretch	n. 可怜的人，不幸的人；卑鄙的人
2580	wreak	vt. 发泄；报仇
2581	wretchedness	n. 可怜,悲惨
2582	erotic	1. adj. 色情的；性欲的；性爱的<br>2. n. 好色之徒
2583	infatuated	adj. 热恋的, 着迷的副 词: infatuatedly
2584	misgiven	v. 使疑虑；使担忧（misgive的过去分词）
2585	misgive	1. vt. 使怀疑；使担心<br>2. vi. 疑虑；怀疑，恐惧
2586	auto	1. n. 自动；[美口]汽车（等于automobile）<br>2. vi. [旧]乘汽车
2587	grand	1. adj. 宏伟的；豪华的；极重要的<br>2. n. 大钢琴；一千美元
2588	huge	adj. 巨大的, 庞大的比较级: huger, hugest 副 词: hugely 名 词: hugeness
2589	拥抱	yōng bào embrace; hug; hold in one's arms
2590	hug	1. vt. 紧抱；拥抱；抱有，坚持<br>2. vi. 拥抱；紧抱在一起；挤在一起
2591	funeral	1. n. 葬礼；[口]麻烦事<br>2. adj. 丧葬的，出殡的
2592	Archimedes	n. 阿基米德形容词: Archimedean
2593	creed	n. 信条，教义
2594	jibe	1. vi. 嘲笑<br>2. vt. 嘲笑
2595	taunt	1. n. 嘲弄；讥讽<br>2. vt. 逗弄；奚落
2596	boom	1. vt. 发隆隆声；使兴旺<br>2. vi. 发隆隆声；急速发展
2597	chime	1. vi. 鸣响；和谐<br>2. vt. 打钟报时；敲出和谐的声音
2598	jib	1. vi. 踌躇不前；停止不动；移转<br>2. n. 船首三角帆；起重机的臂
2599	gibbet	1. vt. 绞死；吊死；使当众出丑<br>2. n. 绞刑架；绞死；支架
2600	foresail	n. 前桅的大帆
2601	jocular	adj. 爱开玩笑的；打趣的；滑稽的
2602	jogging	1. n. 慢跑<br>2. v. 轻推；唤起；慢跑（jog的ing形式）
2603	jot	1. vt. 略记；摘要记载下来<br>2. n. 少量；稍许
2604	iota	n. 极微小；希腊语的第九个字母
2605	jovial	adj. 天性快活的；主神朱庇特的
2606	jubilant	adj. 欢呼的；喜洋洋的
2607	knack	n. 诀窍；本领；熟练技术；巧妙手法
2608	deception	n. 欺骗; 骗术, 诡计
2609	kudos	n. 荣誉；名望；称赞
2610	caveat	n. 警告；中止诉讼手续的申请；货物出门概不退换；停止支付的广告
2611	labile	1. adj. 易变的，不稳定的；不安定的<br>2. n. [心理]心境不定
2612	lability	n. 易变性，不稳定性
2613	sleep	1. vi. 睡，睡觉<br>2. n. 睡眠
2614	lacerate	1. vt. 伤害，使…痛心；割裂；撕碎<br>2. adj. 受折磨的；撕碎的
2615	mangle	1. vt. 乱砍；轧布；损坏<br>2. n. 轧布机
2616	maim	vt. 使残废
2617	lachrymose	adj. 眼泪的,哭泣的; adv. 眼泪地,哭泣地副 词: lachrymosely 名 词: lachrymosity
2618	Sabine	1. n. 萨宾人<br>2. adj. 萨宾语的
2619	odor	n. 气味；名声
2620	lackluster	n. 无光泽,暗淡
2621	luster	1. n. 光泽；光彩<br>2. vi. 有光泽；发亮
2622	lust	1. n. 性欲；强烈的欲望<br>2. vi. 贪求，渴望
2623	Lambast	n. 害草净（等于lambaste）
2624	lambaste	vt. 痛打；严责；鞭打
2625	lame	1. adj. 僵痛的；跛足的；不完全的；无说服力的<br>2. vi. 变跛
2626	baste	1. vt. 粗缝；在…上涂油；狠揍；大骂<br>2. n. 调味品；涂抹液
2627	thrash	1. vt. 打；使逆行<br>2. vi. 打谷；白忙；猛烈摆动
2628	thresh	1. vt. 推敲；打谷；反复做<br>2. vi. 打谷；打；颠簸
2629	lampoon	1. vt. 讽刺<br>2. n. 讽刺文章
2630	satire	n. 讽刺；讽刺文学，讽刺作品
2631	-oon	n. 乌纳
2632	scurrilous	adj. 粗俗的,下流的; adv. 粗俗地; n. 粗俗,下流副 词: scurrilously 名 词: scurrilousness
2633	kidnap	vt. 绑架；诱拐；拐骗
2634	vine	1. n. [植]葡萄树；[植]藤本植物；[植]攀缘植物；[植]藤<br>2. vi. 长成藤蔓；爬藤
2635	wine	1. n. 酒，葡萄酒；紫红色<br>2. vi. 喝酒
2636	languid	adj. 呆滞的；倦怠的；软弱无力的
